Smiles,Standard Value,Standard Units,pIC50,Molecule ChEMBL ID
O=C1Nc2ccccc2/C1=C/c1cc2c([nH]1)CCC(Br)C2,13300.0,nM,4.88,CHEMBL408565
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCO4)c1,15.5,nM,7.81,CHEMBL1198370
C=CC(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1,86.9,nM,7.06,CHEMBL281300
Cn1ncc2c(Oc3ccc(Nc4ncnc5ccn(CCO)c45)cc3Cl)cccc21,36.0,nM,7.44,CHEMBL2048904
CS(=O)(=O)CCNC(=O)NCc1cccc(C#Cc2cncnc2Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)n1,15.0,nM,7.82,CHEMBL206029
Fc1cccc(COc2ccc(Nc3ncncc3C#Cc3cc[nH]n3)cc2Cl)c1,42.0,nM,7.38,CHEMBL205284
Fc1cccc(COc2ccc(Nc3ncncc3C#Cc3ncccn3)cc2Cl)c1,77.0,nM,7.11,CHEMBL207869
Nc1ccc(C#Cc2cncnc2Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)cc1,30.0,nM,7.52,CHEMBL205966
O=C(CCCCCC(=O)Nc1ccc(O)c(C(=O)Nc2ccc(Cl)c(C(F)(F)F)c2)c1)NO,1410.0,nM,5.85,CHEMBL2047022
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCCO4)c1,85.0,nM,7.07,CHEMBL1198361
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCO4)c1,55.0,nM,7.26,CHEMBL2087353
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCOCOCOCCO4)c1,5.0,nM,8.3,CHEMBL2087356
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCOCOCOCCO4)c1,50.0,nM,7.3,CHEMBL2087356
Fc1ccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)cc1Cl,45.0,nM,7.35,CHEMBL2087360
CN1CCC(Nc2ncc3ncnc(Nc4ccc(F)c(Cl)c4)c3n2)CC1,3.0,nM,8.52,CHEMBL258940
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC,9.0,nM,8.05,CHEMBL301018
CCOc1cc2ncc(C#N)c(Nc3ccc(Sc4nc(-c5ccccc5)cs4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,125.0,nM,6.9,CHEMBL367492
CCOC(=O)Cc1cc(/N=C/c2cc(O)ccc2O)ccc1O,100000.0,nM,4.0,CHEMBL168425
N#C/C(=C\c1ccc(O)c(O)c1)C(=O)Nc1ccccc1,1250.0,nM,5.9,CHEMBL56731
N#C/C(=C\c1ccc(O)c(O)c1)C(=O)c1ccccc1,1300.0,nM,5.89,CHEMBL56132
Nc1ncnc2c1ncn2-c1ccccc1,15000.0,nM,4.82,CHEMBL62756
COC(=O)Cc1c(SSc2[nH]c3ccccc3c2CC(=O)OC)[nH]c2ccccc12,18000.0,nM,4.75,CHEMBL83838
Brc1cccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCO5)cc23)c1,630.0,nM,6.2,CHEMBL2070197
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,1.5,nM,8.82,CHEMBL31965
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC,9.0,nM,8.05,CHEMBL301018
O=C(Cc1cc(NCc2cc(O)ccc2O)ccc1O)NOCc1ccccc1,1000.0,nM,6.0,CHEMBL352589
N[C@H](Cc1c([Se][Se]c2[nH]c3ccccc3c2C[C@H](N)C(=O)NCc2ccccc2)[nH]c2ccccc12)C(=O)NCc1ccccc1,1300.0,nM,5.89,CHEMBL336409
Brc1cccc(Nc2ncnc3cc(NCCCCN4CCOCC4)ncc23)c1,5.4,nM,8.27,CHEMBL126384
C=CC(=O)Nc1cccc(N2C(=O)N(C)Cc3cnc(Nc4ccc(N5CCCCC5)cc4OC)nc32)c1,95.71,nM,7.02,CHEMBL2032378
COc1ccc2c(c1)sc1c(Nc3cccc(Br)c3)ncnc12,80.0,nM,7.1,CHEMBL346846
Cc1cccc(Nc2ncnc3c2sc2ccc([N+](=O)[O-])cc23)c1.Cl,11.0,nM,7.96,CHEMBL544867
CNc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,7.0,nM,8.15,CHEMBL92812
O=C(/C=C/Cn1cccn1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,1124.0,nM,5.95,CHEMBL93754
C=C(CN1CCOCC1)C(=O)Nc1ccc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2c1,2700.0,nM,5.57,CHEMBL114392
CCN(CC)CCn1c2ccc(OC)cc2c2c(Nc3cccc(Br)c3)ncnc21,4270.0,nM,5.37,CHEMBL153518
COc1ccccc1-c1ccc2c(c1)NC(=O)/C2=C\c1[nH]cc(CCC(=O)O)c1C,19200.0,nM,4.72,CHEMBL147112
COc1cc(/C=C(\C#N)C(N)=O)cc(SCCCC(=O)O)c1O,47863.01,nM,4.32,CHEMBL1161234
N#Cc1cnc2ccc(NC(=O)/C=C/CN3CCOCC3)cc2c1Nc1ccc(F)c(Cl)c1,2290.0,nM,5.64,CHEMBL118000
COc1cc2ncc(C(=O)O)c(Nc3cccc(Br)c3)c2cc1OC,33884.42,nM,4.47,CHEMBL541988
CC#CC(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1,933.25,nM,6.03,CHEMBL283682
N#Cc1cnc2ccc(NC(=O)/C=C/CN3CCOCC3)cc2c1Nc1ccc(F)c(Cl)c1,2290.87,nM,5.64,CHEMBL118000
COc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,2344.23,nM,5.63,CHEMBL114490
COc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/C(C)N(C)C,5248.07,nM,5.28,CHEMBL113901
C=CC(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1,588.84,nM,6.23,CHEMBL281300
C/C=C/C(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1,1621.81,nM,5.79,CHEMBL326811
CN(C)C/C=C/C(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1,310.0,nM,6.51,CHEMBL30973
C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccc(F)cc34)n2)c(OC)cc1N(C)CCN(C)C,4.9,nM,8.31,CHEMBL4103912
C=CC(=O)Nc1ccc(OC)c(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c1,12800.0,nM,4.89,CHEMBL2426286
COc1ccc(NC(=O)/C=C/CN(C)C)cc1Nc1ncc(F)c(-c2cnn3ccccc23)n1,380.0,nM,6.42,CHEMBL2426290
COc1ccc(NC(=O)CC#N)cc1Nc1ncc(Cl)c(-c2c[nH]c3ccccc23)n1,1800.0,nM,5.75,CHEMBL2426285
C=CC(=O)Nc1cc2c(Nc3cccc(C)c3)ncnc2cc1OCCCN1CCOCC1,27.0,nM,7.57,CHEMBL27688
C=CC(=O)Nc1ccc2ncnc(N3CCc4ccc(Br)cc43)c2c1,9.9,nM,8.0,CHEMBL51741
C=C(CN(C)C)C(=O)c1ccc(OS(=O)(=O)c2ccc(C(=O)O)c(O)c2)cc1,470.0,nM,6.33,CHEMBL310580
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1.Cl.Cl,2.0,nM,8.7,CHEMBL545315
C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,2.5,nM,8.6,CHEMBL3353410
CNc1cc2c(Nc3cccc(Cl)c3)ncnc2cn1,0.19,nM,9.72,CHEMBL166154
Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)cc23)c1,7900.0,nM,5.1,CHEMBL162622
Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)cc23)c1,0.7,nM,9.15,CHEMBL162622
CS(=O)(=O)CCN(CCCCOc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1)C(=O)C(F)(F)F,263.0,nM,6.58,CHEMBL273789
C#Cc1cccc(Nc2ncnc3ccc(OCCCCNCCS(C)(=O)=O)cc23)c1,11.0,nM,7.96,CHEMBL517907
CS(=O)(=O)CCNCCCCOc1ccc2ncnc(Nc3ccc(S(=O)(=O)c4ccccc4)cc3)c2c1,93.0,nM,7.03,CHEMBL460732
CS(=O)(=O)CCNCCCCOc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,74.0,nM,7.13,CHEMBL15346
C=CC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,0.75,nM,9.12,CHEMBL31373
C[C@@H](NC(=O)[C@@H](C)NC(=O)c1ccc(S(=O)(=O)Oc2ccc(/C=C/[N+](=O)[O-])cc2)cc1)C(=O)O,7000.0,nM,5.16,CHEMBL311133
COc1cc(/C=C(\C#N)C(N)=O)cc(CSCCCC(=O)O)c1O,6500.0,nM,5.19,CHEMBL326044
Cn1c(SSc2c(C(=O)NCc3ccccc3)c3ccccc3n2C)c(C(=O)NCc2ccccc2)c2ccccc21,1700.0,nM,5.77,CHEMBL158275
CNc1ncnc2c1c(-c1ccccc1)cn2-c1ccccc1,31000.0,nM,4.51,CHEMBL366831
O=C(O)c1cc(NCc2cc(O)ccc2O)ccc1O,30.0,nM,7.52,CHEMBL319620
CCOc1cc2ncnc(Nc3cccc(-c4cscn4)c3)c2cc1OCC,18.0,nM,7.75,CHEMBL127223
COc1cccc(Nc2ncnc3ccccc23)c1,842.0,nM,6.08,CHEMBL117697
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,54.0,nM,7.27,CHEMBL939
CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccc4F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,401.0,nM,6.4,CHEMBL179923
CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccc(Cl)cc4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,51.0,nM,7.29,CHEMBL180415
CCOc1cc2ncc(C#N)c(Nc3ccc(OCC4CCCCC4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,285.0,nM,6.54,CHEMBL179123
CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,92.0,nM,7.04,CHEMBL180022
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,190000.0,nM,3.721246399047171,CHEMBL50
Fc1ccc2c(Nc3cccc(Br)c3)ncnc2n1,691.83,nM,6.16,CHEMBL291701
Nc1cc(Br)ccc1Nc1ncnc2ccncc12,25.7,nM,7.59,CHEMBL271617
Nc1c(Nc2ncnc3ccncc23)cccc1[N+](=O)[O-],40.74,nM,7.39,CHEMBL441332
Brc1cccc(Nc2ncnc3cc4[nH]cc(CN5CCOCC5)c4cc23)c1,4.8,nM,8.32,CHEMBL36967
COc1cc2ncnc(N(C)c3cccc(Br)c3)c2cc1OC,152.0,nM,6.82,CHEMBL447230
Cc1[nH]c2ncnc(NC3CCCCC3)c2c1C,6920.0,nM,5.16,CHEMBL4106341
CCOc1cc2ncc(C#N)c(Nc3ccc(Cn4ccnc4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,519.0,nM,6.29,CHEMBL179074
CCOC(=O)c1cn2ncnc(Nc3ccc(Oc4ccccc4)cc3)c2c1CC,610.0,nM,6.21,CHEMBL194349
COc1ccc(CCCCCn2cc(CCN)c3cc(OCCc4ccc(O)cc4)ccc32)cc1.Cl,4400.0,nM,5.36,CHEMBL1098121
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Br)c3)ncnc2cc1OCCCN1CCOCC1,1.8,nM,8.74,CHEMBL27685
COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2ccccc2NC(C)=O)c1O,22000.0,nM,4.66,CHEMBL115895
Cc1cc(C=C(C#N)C#N)cc(O)c1O,5600.0,nM,5.25,CHEMBL116423
COc1cc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2cc1OCCCCCn1ccnc1[N+](=O)[O-],51.2,nM,7.29,CHEMBL3355885
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCCn1c([N+](=O)[O-])cnc1C,0.53,nM,9.28,CHEMBL3355889
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,0.45,nM,9.35,CHEMBL939
Nc1ccccc1Nc1ncnc2ccncc12,251.19,nM,6.6,CHEMBL272258
COc1cc2ncnc(Nc3ccccc3)c2cc1OC,29.51,nM,7.53,CHEMBL94191
Brc1cccc(Nc2ncnc3ccccc23)c1,27.54,nM,7.56,CHEMBL290096
Clc1cccc(Nc2ncnc3ccccc23)c1,23.44,nM,7.63,CHEMBL329672
CCOC(=O)C1=C(N)N(c2cccnc2)C2=C(C(=O)CCC2)C1c1cc2cc(Cl)ccc2n2nnnc12,16700.0,nM,4.78,CHEMBL3325480
CCOC(=O)C1=C(N)N(c2cccnc2)C2=C(C(=O)CCC2)C1c1cc2cc(OC)ccc2n2nnnc12,200.0,nM,6.7,CHEMBL3325479
C=CC(=O)Nc1cccc(N2C(=O)N(C)Cc3cnc(Nc4ccc(N5CCOCC5)cc4OC)nc32)c1,16.4,nM,7.79,CHEMBL2032379
C=CC(=O)Nc1cccc(N2C(=O)N(C)Cc3cnc(Nc4ccc(N5CCN(C)CC5)c(OC)c4)nc32)c1,0.41,nM,9.39,CHEMBL2029429
C=CC(=O)Nc1cccc(N2C(=O)N(C)Cc3cnc(Nc4ccc(N(C)C)cc4OC)nc32)c1,24.9,nM,7.6,CHEMBL2032377
C=CC(=O)Nc1cccc(N2C(=O)N(c3ccccc3)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,0.46,nM,9.34,CHEMBL2029436
CN(C)c1ccc2c(Nc3cccc(Br)c3)ncnc2n1,324.0,nM,6.49,CHEMBL50245
COc1cc2ncnc(NNc3ccc(F)c(Cl)c3)c2cc1OC,430.0,nM,6.37,CHEMBL422066
Cc1ncc([N+](=O)[O-])n1C/C(=N/NC(=O)c1ccc(Cl)cc1)c1ccc(Br)cc1,12450.0,nM,4.91,CHEMBL3088223
Nc1c(-c2ccc(F)cc2)c(-c2ccncc2)nn1-c1c(Cl)cc(Cl)cc1Cl,3300.0,nM,5.48,CHEMBL2011291
Nc1nccn2c1c(-c1ccc3ccc(-c4ccccc4)nc3c1)nc2[C@H]1C[C@@H](CN2CCC2)C1,9600.0,nM,5.02,CHEMBL410659
CCCCCCCCCNC(=O)COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1,3580.0,nM,5.45,CHEMBL597708
N#CC(C#N)=Cc1ccc(O)c(O)c1,35000.0,nM,4.46,CHEMBL76904
COc1cc(OC2CCN(C)CC2)c2c(Nc3ccc(F)c(Cl)c3)ncnc2c1,87.0,nM,7.06,CHEMBL203295
COc1ccc(C2CC(c3ccc(Br)c(Br)c3)=NN2C(N)=S)cc1,8090.0,nM,5.09,CHEMBL1173193
Cc1ccc(C2CC(c3ccc(Br)c(Br)c3)=NN2C(N)=S)cc1,9830.0,nM,5.01,CHEMBL1173262
Cc1ccc(C2=NN(C(N)=S)C(c3ccccc3Cl)C2)cc1C,3870.0,nM,5.41,CHEMBL1173794
CC(=O)N1N=C(c2ccc(Cl)c(Cl)c2)CC1c1ccc(Br)cc1,18450.0,nM,4.73,CHEMBL1173816
COc1cc2ncc(C#N)c(Nc3cccc(Br)c3)c2cc1NC(=O)/C=C/CN1CCOCC1,3830.0,nM,5.42,CHEMBL332497
Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,16.0,nM,7.8,CHEMBL51853
COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2ccccn2)c1O,3400.0,nM,5.47,CHEMBL119156
CCCCCCCCCOC(=O)COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1,4960.0,nM,5.3,CHEMBL599145
CCCCCCCCCCCCCCCCCCOC(=O)COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1,692.0,nM,6.16,CHEMBL597096
CCCCCCCCCCCCCCCCCCCCOC(=O)COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1,1589.0,nM,5.8,CHEMBL591495
CCCCCCCNC(=O)COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1,6280.0,nM,5.2,CHEMBL597303
COc1cc(O)c2c(=O)c(-c3cccc(Cl)c3)coc2c1,1270.0,nM,5.9,CHEMBL7339
CCCN(CC#CC(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1)CCC,130.0,nM,6.89,CHEMBL115187
O=c1cc(-c2ccccc2)oc2ccccc12,50.0,ug.mL-1,7.301029995663981,CHEMBL275638
N#CC(C#N)=C(N)/C(C#N)=C/c1cc(O)c(O)c(O)c1,800.0,nM,6.1,CHEMBL78257
O=[N+]([O-])/C=C/c1ccc(O)cc1,10000.0,nM,5.0,CHEMBL307481
N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,2880.0,nM,5.54,CHEMBL1009
CC(C)c1cc(/C=C2\C(=O)Nc3ccccc32)cc(C(C)C)c1O,400.0,nM,6.4,CHEMBL85021
CN(CC(O)CO)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1,3.236,nM,8.49,CHEMBL340700
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1CNC(=O)[C@H]1CCCCN1C,8.0,nM,8.1,CHEMBL461967
CC(C)c1cc(/C=C2\C(=O)Nc3ccccc32)cc(C(C)C)c1O,15300.0,nM,4.82,CHEMBL85021
CN(C)CCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,43000.0,nM,4.37,CHEMBL162034
COc1cc(C=C(C#N)C#N)cc(CS(=O)(=O)c2ccc(C)cc2)c1O,15000.0,nM,4.82,CHEMBL334032
CC(=O)N1N=C(c2ccc(C)c(C)c2)CC1c1ccccc1Cl,21480.0,nM,4.67,CHEMBL1171638
CN(C)CCN(C)C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,281.0,nM,6.55,CHEMBL3092315
O=C(Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1)N1CCC(F)(F)CC1,5311.0,nM,5.28,CHEMBL3092298
CN(C)CCCN(C)C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,5261.0,nM,5.28,CHEMBL3092317
COc1cc2c(Nc3ccc(-c4nc5ccccc5s4)cc3O)ncnc2cc1OCCCN1CCN(C)CC1,350.0,nM,6.46,CHEMBL595142
COc1cc2c(N(C)c3ccc(-c4nc5ccccc5s4)c(OC)c3)ncnc2cc1OCCCN1CCN(C)CC1,1400.0,nM,5.85,CHEMBL593770
CN(CCCOc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1)CCS(C)(=O)=O,831.76,nM,6.08,CHEMBL14874
Cc1cc(C)c(O)c(CN(Cc2ccc(O)cc2)C(=S)Nc2ccccc2)c1,5830.0,nM,5.23,CHEMBL592247
COC(=O)[C@@]1(Cc2ccc(O)c(CC=C(C)C)c2)OC(=O)C(O)=C1c1ccc(O)cc1,590000.0,nM,3.2291479883578558,CHEMBL1242973
O=S(=O)(O)CCNc1c(Br)cccc1Nc1ncnc2ccncc12,1.413,nM,8.85,CHEMBL270895
CN(C)c1ccc2c(Nc3cccc(Br)c3)ncnc2n1,331.13,nM,6.48,CHEMBL50245
CC(C)c1ccc(NC(=O)c2ccc(N(CCCl)CCCl)cc2)cc1,750.0,nM,6.12,CHEMBL589589
COc1cc2ncnc(N[C@@H](C)c3ccccc3)c2cc1OCCCCCCC(=O)NO,5077.0,nM,5.29,CHEMBL599218
CC(=O)N1CCN(CCOc2n[nH]c3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23)CC1,3.0,nM,8.52,CHEMBL258270
C=CC(=O)Nc1cccc(-n2c(=O)cnc3cnc(Nc4ccc(N5CCOCC5)cc4)nc32)c1,2.86,nM,8.54,CHEMBL2437460
Cc1cccc(Nc2ncnc3ccc(N(C)C(=O)N(CCCl)N=O)cc23)c1,1139.0,nM,5.94,CHEMBL209818
CS(=O)(=O)Nc1ccc2c(c1)CNc1c(Nc3cccc(Br)c3)ncnc1O2,7000.0,nM,5.16,CHEMBL382186
C=CC(=O)Nc1ccc(-n2c(=O)c(C)nc3cnc(Nc4ccc(OC)cc4)nc32)cc1,16338.0,nM,4.79,CHEMBL2437470
C=CC(=O)Nc1ccc(-n2c(=O)cnc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)cc1,395.0,nM,6.4,CHEMBL2437468
CCCCN(Cc1cccc(Cl)c1O)C(=S)Nc1ccccc1,18120.0,nM,4.74,CHEMBL589413
N#C/C(=C\c1ccc(O)c(O)c1)C(=O)c1ccc(O)c(O)c1,5000.0,nM,5.3,CHEMBL56393
CN(C)C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,11.0,nM,7.96,CHEMBL94061
Nc1ncnc(Nc2ccc3c(cnn3Cc3cccc(F)c3)c2)c1/C=N/N1CCOCC1,16.0,nM,7.8,CHEMBL498133
COc1cc2c(Nc3ccc(-c4nc5ccccc5s4)c(C)c3)ncnc2cc1OCCCN1CCN(C)CC1,32.0,nM,7.5,CHEMBL596087
COc1cc2ncnc(Nc3ccc(-c4nc5ccccc5s4)cc3C)c2cc1OCCCN1CCN(C)CC1,1400.0,nM,5.85,CHEMBL595374
COc1cc2ncnc(Nc3ccc(-c4nc5ccccc5s4)c(O)c3)c2cc1OCCCN1CCN(C)CC1,3300.0,nM,5.48,CHEMBL604485
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,5.4,nM,8.27,CHEMBL939
